Python,R,Python result,R result,Overall,Row Diff,Col Diff,Semantic,Largest Common,Edit Distance
"mslacc.iloc[0:5, 0:3]","mslacc[1:5, 1:3]","   col0  col1  col2
0     1     6  ID_8
1     1     1  ID_6
2     5     5  ID_5
3     4     1  ID_6
4     9     4  ID_1","   col0  col1  col2
0     1     6  ID_8
1     1     1  ID_6
2     5     5  ID_5
3     4     1  ID_6
4     9     4  ID_1",1.0,1.0,1.0,1.0,"Row: 0:4, Col: 0:2",0.839
"mslacc.sort_values(['col1', 'col2'])","arrange(mslacc, col1, col2)","   col0  col1  col2  col3
2     4     4  ID_7     2
3     3     5  ID_1     1
0     4     8  ID_2     4
1     7     8  ID_8     1","   col0  col1  col2  col3
1     4     4  ID_7     2
2     3     5  ID_1     1
3     4     8  ID_2     4
4     7     8  ID_8     1",1.0,1.0,1.0,1.0,"Row: 0:3, Col: 0:3",0.64
"mslacc.sort_values(['col1', 'col2'])","arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     5     1  ID_8     3","   col0  col1  col2  col3
1     5     1  ID_8     3",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.578
"mslacc.sort_values(['col1', 'col2'])",head(mslacc),"   col0  col1  col2  col3
0     5     1  ID_8     3","   col0  col1  col2  col3
0     5     1  ID_8     3",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.428
"mslacc.drop(['col1', 'col2'], axis=1)","select(mslacc, -c(col1, col2))","   col0  col3
0     4     4
1     7     1
2     4     2
3     3     1","   col0  col3
0     4     4
1     7     1
2     4     2
3     3     1",1.0,1.0,1.0,1.0,"Row: 0:3, Col: 0:1",0.571
mslacc[['col1']].drop_duplicates(),"distinct(select(mslacc, col1))","   col1
0     8
2     4
3     5","   col1
1     8
2     4
3     5",1.0,1.0,1.0,1.0,"Row: 0:2, Col: 0:0",0.524
"mslacc.loc[:, 'col1':'col3']","select(mslacc, col1:col3)","   col1  col2  col3
0     8  ID_2     4
1     8  ID_8     1
2     4  ID_7     2
3     5  ID_1     1","   col1  col2  col3
0     8  ID_2     4
1     8  ID_8     1
2     4  ID_7     2
3     5  ID_1     1",1.0,1.0,1.0,1.0,"Row: 0:3, Col: 0:2",0.657
mslacc[['col1']].shape,"dim(mslacc[c(""col1"")])","[4, 1]",[4 1],1.0,,,1.0,,0.697
mslacc.iloc[:7],"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     5     1  ID_8     3","   col0  col1  col2  col3
1     5     1  ID_8     3",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.493
mslacc.iloc[:7],"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     4     7  ID_1     5
1     9     3  ID_3     5","   col0  col1  col2  col3
1     4     7  ID_1     5
2     9     3  ID_3     5",1.0,1.0,1.0,1.0,"Row: 0:1, Col: 0:3",0.483
mslacc.iloc[:7],"mslacc[1:7, ]","   col0  col1  col2  col3
0     1     6  ID_8     4
1     1     1  ID_6     5
2     5     5  ID_5     0
3     4     1  ID_6     2
4     9     4  ID_1     1
5     6     6  ID_0     3
6     3     8  ID_5     7","   col0  col1  col2  col3
0     1     6  ID_8     4
1     1     1  ID_6     5
2     5     5  ID_5     0
3     4     1  ID_6     2
4     9     4  ID_1     1
5     6     6  ID_0     3
6     3     8  ID_5     7",1.0,1.0,1.0,1.0,"Row: 0:6, Col: 0:3",0.833
mslacc.iloc[:7],head(mslacc),"   col0  col1  col2  col3
0     4     8  ID_2     4
1     7     8  ID_8     1
2     4     4  ID_7     2
3     3     5  ID_1     1","   col0  col1  col2  col3
0     4     8  ID_2     4
1     7     8  ID_8     1
2     4     4  ID_7     2
3     3     5  ID_1     1",1.0,1.0,1.0,1.0,"Row: 0:3, Col: 0:3",0.522
"mslacc.loc[1:2, ('col1')]","dim(mslacc[c(""col1"")])","1    6
2    1
Name: col1, dtype: int64",[6 1],1.0,,,1.0,,0.691
"mslacc.loc[1:2, ('col1')]",dim(mslacc),"1    8
2    4
Name: col1, dtype: int64",[8 4],1.0,,,1.0,,0.598
"mslacc.loc[1:2, ('col1')]","mslacc[2, ""col1""]","1    3
Name: col1, dtype: int64",[3],1.0,,,1.0,,0.736
"mslacc.loc[1:2, ('col1')]","mslacc[[""col1""]]","1    6
Name: col1, dtype: int64",[6],1.0,,,1.0,,0.694
mslacc.head(),"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     5     1  ID_8     3","   col0  col1  col2  col3
1     5     1  ID_8     3",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.428
mslacc.head(),"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     4     7  ID_1     5
1     9     3  ID_3     5","   col0  col1  col2  col3
1     4     7  ID_1     5
2     9     3  ID_3     5",1.0,1.0,1.0,1.0,"Row: 0:1, Col: 0:3",0.453
mslacc.head(),head(mslacc),"   col0  col1  col2  col3
0     4     8  ID_2     4
1     7     8  ID_8     1
2     4     4  ID_7     2
3     3     5  ID_1     1","   col0  col1  col2  col3
0     4     8  ID_2     4
1     7     8  ID_8     1
2     4     4  ID_7     2
3     3     5  ID_1     1",1.0,1.0,1.0,1.0,"Row: 0:3, Col: 0:3",0.615
"mslacc[['col1', 'col2']].drop_duplicates()","distinct(select(mslacc, col1, col2))","   col1  col2
0     8  ID_2
1     8  ID_8
2     4  ID_7
3     5  ID_1","   col1  col2
1     8  ID_2
2     8  ID_8
3     4  ID_7
4     5  ID_1",1.0,1.0,1.0,1.0,"Row: 0:3, Col: 0:1",0.517
"mslacc[['col1', 'col2']].drop_duplicates()","select(mslacc, col1, col2)","   col1  col2
0     8  ID_2
1     8  ID_8
2     4  ID_7
3     5  ID_1","   col1  col2
0     8  ID_2
1     8  ID_8
2     4  ID_7
3     5  ID_1",1.0,1.0,1.0,1.0,"Row: 0:3, Col: 0:1",0.519
"mslacc.sort_values('col1', ascending=False)","arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     5     1  ID_8     3","   col0  col1  col2  col3
1     5     1  ID_8     3",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.55
"mslacc.sort_values('col1', ascending=False)","arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     4     8  ID_2     4
1     7     8  ID_8     1
3     3     5  ID_1     1
2     4     4  ID_7     2","   col0  col1  col2  col3
1     4     8  ID_2     4
2     7     8  ID_8     1
3     3     5  ID_1     1
4     4     4  ID_7     2",1.0,1.0,1.0,1.0,"Row: 0:3, Col: 0:3",0.55
"mslacc.sort_values('col1', ascending=False)",head(mslacc),"   col0  col1  col2  col3
0     4     7  ID_1     5
1     9     3  ID_3     5","   col0  col1  col2  col3
0     4     7  ID_1     5
1     9     3  ID_3     5",1.0,1.0,1.0,1.0,"Row: 0:1, Col: 0:3",0.417
mslacc.shape,dim(mslacc),"[4, 4]",[4 4],1.0,,,1.0,,0.682
mslacc.iloc[:8],"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     5     1  ID_8     3","   col0  col1  col2  col3
1     5     1  ID_8     3",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.493
mslacc.iloc[:8],"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     4     7  ID_1     5
1     9     3  ID_3     5","   col0  col1  col2  col3
1     4     7  ID_1     5
2     9     3  ID_3     5",1.0,1.0,1.0,1.0,"Row: 0:1, Col: 0:3",0.483
mslacc.iloc[:8],"mslacc[1:7, ]","   col0  col1  col2  col3
0     8     8  ID_6     5
1     5     7  ID_3     0
2     6     7  ID_4     8
3     0     7  ID_6     7
4     6     7  ID_7     5
5     5     8  ID_2     8
6     8     7  ID_3     8","   col0  col1  col2  col3
0     8     8  ID_6     5
1     5     7  ID_3     0
2     6     7  ID_4     8
3     0     7  ID_6     7
4     6     7  ID_7     5
5     5     8  ID_2     8
6     8     7  ID_3     8",1.0,1.0,1.0,1.0,"Row: 0:6, Col: 0:3",0.783
mslacc.iloc[:8],head(mslacc),"   col0  col1  col2  col3
0     4     8  ID_2     4
1     7     8  ID_8     1
2     4     4  ID_7     2
3     3     5  ID_1     1","   col0  col1  col2  col3
0     4     8  ID_2     4
1     7     8  ID_8     1
2     4     4  ID_7     2
3     3     5  ID_1     1",1.0,1.0,1.0,1.0,"Row: 0:3, Col: 0:3",0.522
mslacc.iloc[:8],"mslacc[1:8, ]","   col0  col1  col2  col3
0     1     6  ID_8     4
1     1     1  ID_6     5
2     5     5  ID_5     0
3     4     1  ID_6     2
4     9     4  ID_1     1
5     6     6  ID_0     3
6     3     8  ID_5     7
7     6     6  ID_1     3","   col0  col1  col2  col3
0     1     6  ID_8     4
1     1     1  ID_6     5
2     5     5  ID_5     0
3     4     1  ID_6     2
4     9     4  ID_1     1
5     6     6  ID_0     3
6     3     8  ID_5     7
7     6     6  ID_1     3",1.0,1.0,1.0,1.0,"Row: 0:7, Col: 0:3",0.833
"mslacc[['col1', 'col2']]","distinct(select(mslacc, col1, col2))","   col1  col2
0     8  ID_2
1     8  ID_8
2     4  ID_7
3     5  ID_1","   col1  col2
1     8  ID_2
2     8  ID_8
3     4  ID_7
4     5  ID_1",1.0,1.0,1.0,1.0,"Row: 0:3, Col: 0:1",0.51
"mslacc[['col1', 'col2']]","select(mslacc, col1, col2)","   col1  col2
0     8  ID_2
1     8  ID_8
2     4  ID_7
3     5  ID_1","   col1  col2
0     8  ID_2
1     8  ID_8
2     4  ID_7
3     5  ID_1",1.0,1.0,1.0,1.0,"Row: 0:3, Col: 0:1",0.604
mslacc[['col1']],"distinct(select(mslacc, col1))","   col1
0     7
1     3","   col1
1     7
2     3",1.0,1.0,1.0,1.0,"Row: 0:1, Col: 0:0",0.379
